dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,pct_students_tested
32K549,75.0,348.0,353.0,334.0,0.85
32K552,67.0,342.0,364.0,354.0,0.92
32K554,39.0,428.0,465.0,422.0,
32K556,23.0,347.0,358.0,350.0,0.92
32K564,24.0,359.0,317.0,358.0,0.92
75K371,,,,,0.85
75M035,,,,,
75Q256,,,,,0.85
75Q811,32.0,429.0,444.0,433.0,0.78
75R025,,,,,0.78
75X012,,,,,0.92
75X754,,,,,
79M645,,,,,0.85
79Q950,8.0,496.0,400.0,426.0,0.92
79X490,9.0,367.0,370.0,360.0,0.85
